DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
24-Feb-2026,EQ,"927.95","927.95","909.15","923.60","911.50","910.50","915.33","2,037.70","901.00",31313985,"28,66,25,10,212.40",298283
23-Feb-2026,EQ,"916.50","925.65","915.25","911.85","924.10","923.60","921.17","2,037.70","901.00",23270122,"21,43,56,60,334.00",228672
20-Feb-2026,EQ,"911.00","917.85","908.40","915.60","913.15","911.85","913.52","2,037.70","901.00",22654907,"20,69,58,10,498.85",295931
19-Feb-2026,EQ,"929.00","929.20","912.45","924.70","914.30","915.60","918.86","2,037.70","901.00",21209234,"19,48,82,60,011.45",297364
18-Feb-2026,EQ,"923.20","925.50","919.55","925.70","923.70","924.70","922.79","2,037.70","901.00",12738702,"11,75,51,17,113.45",217327
17-Feb-2026,EQ,"923.00","928.10","918.60","925.80","926.45","925.70","925.32","2,037.70","901.00",22599629,"20,91,18,78,079.60",337196
16-Feb-2026,EQ,"903.90","929.50","902.10","903.90","925.50","925.80","922.18","2,037.70","901.00",18806989,"17,34,35,14,574.60",309517
13-Feb-2026,EQ,"913.00","928.20","901.00","920.60","903.90","903.90","912.26","2,037.70","901.00",50188359,"45,78,48,29,506.25",361977
12-Feb-2026,EQ,"927.00","928.60","918.50","927.10","919.75","920.60","922.37","2,037.70","905.00",33872203,"31,24,26,14,792.65",425115
11-Feb-2026,EQ,"931.25","936.00","925.30","932.40","926.80","927.10","928.91","2,037.70","905.00",24869804,"23,10,17,39,084.15",368828
10-Feb-2026,EQ,"930.00","940.90","929.95","937.25","932.60","932.40","933.93","2,037.70","905.00",31525385,"29,44,26,15,462.90",408707
09-Feb-2026,EQ,"945.00","950.00","935.35","941.10","938.80","937.25","938.27","2,037.70","905.00",23947829,"22,46,95,73,398.45",274371
06-Feb-2026,EQ,"945.00","948.10","937.60","949.70","941.00","941.10","941.73","2,037.70","905.00",18120272,"17,06,43,39,108.70",423858
05-Feb-2026,EQ,"956.00","956.05","946.70","953.10","949.70","949.70","950.22","2,037.70","905.00",28103169,"26,70,43,14,508.90",372775
04-Feb-2026,EQ,"952.50","957.20","947.95","948.70","949.00","953.10","952.91","2,037.70","905.00",24366770,"23,21,94,30,282.65",251099
03-Feb-2026,EQ,"983.75","994.00","945.00","928.10","947.65","948.70","954.45","2,037.70","905.00",50336968,"48,04,39,34,757.85",490165
